,source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents,intersections,evidences
410,KEGG,KEGG:04540,Gap junction,0.0009803347454021482,True,Gap junction,88,198,11,7987,0.05555555555555555,0.125,query_1,['KEGG:00000'],"['ADCY8', 'ADRB1', 'DRD1', 'DRD2', 'EGF', 'GNA11', 'GNAS', 'HRAS', 'HTR2A', 'HTR2B', 'TUBAL3']","[['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG']]"
415,KEGG,KEGG:05032,Morphine addiction,0.0010946573239299122,True,Morphine addiction,89,198,11,7987,0.05555555555555555,0.12359550561797752,query_1,['KEGG:00000'],"['ADCY8', 'CACNA1A', 'DRD1', 'GABBR1', 'GABRA1', 'GABRA6', 'GABRG2', 'GNAS', 'GNG8', 'OPRM1', 'PDE10A']","[['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG']]"
426,KEGG,KEGG:05022,Pathways of neurodegeneration - multiple diseases,0.0014678317651255187,True,Pathways of neurodegeneration - multiple diseases,475,198,28,7987,0.1414141414141414,0.05894736842105263,query_1,['KEGG:00000'],"['ATP2A3', 'BDNF', 'BRAF', 'CACNA1C', 'CALML3', 'CALML5', 'CHRM1', 'CHRM5', 'CHRNA7', 'CSF1', 'DLG4', 'FZD10', 'GRIA3', 'GRIA4', 'GRIN2B', 'HIP1', 'HRAS', 'IL1B', 'IL6', 'MAP2K6', 'NDUFA4', 'NOS2', 'PSEN1', 'RYR3', 'SLC6A3', 'TNF', 'TUBAL3', 'WNT9B']","[['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG']]"
454,KEGG,KEGG:04725,Cholinergic synapse,0.0020986575291619515,True,Cholinergic synapse,113,198,12,7987,0.06060606060606061,0.10619469026548672,query_1,['KEGG:00000'],"['ADCY8', 'CACNA1A', 'CACNA1C', 'CHRM1', 'CHRM2', 'CHRM4', 'CHRM5', 'CHRNA4', 'CHRNA7', 'GNA11', 'GNG8', 'HRAS']","[['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG']]"
502,KEGG,KEGG:05142,Chagas disease,0.0036757846595288886,True,Chagas disease,101,198,11,7987,0.05555555555555555,0.10891089108910891,query_1,['KEGG:00000'],"['ACE', 'BDKRB2', 'CCL2', 'CXCL8', 'GNA11', 'GNAS', 'IL1B', 'IL6', 'NOS2', 'PPP2R2C', 'TNF']","[['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG']]"
503,KEGG,KEGG:05010,Alzheimer disease,0.0036836099114394122,True,Alzheimer disease,368,198,23,7987,0.11616161616161616,0.0625,query_1,['KEGG:00000'],"['ADAM17', 'APOE', 'ATP2A3', 'BRAF', 'CACNA1C', 'CALML3', 'CALML5', 'CHRM1', 'CHRM5', 'CHRNA7', 'CSF1', 'FZD10', 'GRIN2B', 'HRAS', 'IL1B', 'IL6', 'NDUFA4', 'NOS2', 'PSEN1', 'RYR3', 'TNF', 'TUBAL3', 'WNT9B']","[['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG']]"
518,KEGG,KEGG:05031,Amphetamine addiction,0.004551794236289805,True,Amphetamine addiction,69,198,9,7987,0.045454545454545456,0.13043478260869565,query_1,['KEGG:00000'],"['CACNA1C', 'CALML3', 'CALML5', 'DRD1', 'GNAS', 'GRIA3', 'GRIA4', 'GRIN2B', 'SLC6A3']","[['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG']]"
572,KEGG,KEGG:05200,Pathways in cancer,0.009768153976922489,True,Pathways in cancer,528,198,28,7987,0.1414141414141414,0.05303030303030303,query_1,['KEGG:00000'],"['ADCY8', 'ARNT', 'BDKRB2', 'BRAF', 'CALML3', 'CALML5', 'CCND2', 'CXCL8', 'DCC', 'EGF', 'EP300', 'ESR1', 'ESR2', 'FZD10', 'GNA11', 'GNAS', 'GNG8', 'GSTP1', 'HEYL', 'HRAS', 'IL6', 'KIT', 'MYC', 'NOS2', 'RBX1', 'SMAD4', 'VEGFA', 'WNT9B']","[['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG']]"
604,KEGG,KEGG:04750,Inflammatory mediator regulation of TRP channels,0.014477108478293366,True,Inflammatory mediator regulation of TRP channels,98,198,10,7987,0.050505050505050504,0.10204081632653061,query_1,['KEGG:00000'],"['ADCY8', 'BDKRB2', 'CALML3', 'CALML5', 'GNAS', 'HRH1', 'HTR2A', 'HTR2B', 'IL1B', 'MAP2K6']","[['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG']]"
619,KEGG,KEGG:05030,Cocaine addiction,0.018130841756802393,True,Cocaine addiction,49,198,7,7987,0.03535353535353535,0.14285714285714285,query_1,['KEGG:00000'],"['BDNF', 'DLG4', 'DRD1', 'DRD2', 'GNAS', 'GRIN2B', 'SLC6A3']","[['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG']]"
622,KEGG,KEGG:04916,Melanogenesis,0.018620872922936484,True,Melanogenesis,101,198,10,7987,0.050505050505050504,0.09900990099009901,query_1,['KEGG:00000'],"['ADCY8', 'CALML3', 'CALML5', 'EP300', 'FZD10', 'GNAS', 'HRAS', 'KIT', 'POMC', 'WNT9B']","[['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG']]"
639,KEGG,KEGG:04022,cGMP-PKG signaling pathway,0.021647874034661466,True,cGMP-PKG signaling pathway,165,198,13,7987,0.06565656565656566,0.07878787878787878,query_1,['KEGG:00000'],"['ADCY8', 'ADRA1A', 'ADRA2A', 'ADRB1', 'ADRB2', 'ATP2A3', 'BDKRB2', 'CACNA1C', 'CALML3', 'CALML5', 'GNA11', 'NOS3', 'RGS2']","[['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG']]"
645,KEGG,KEGG:04720,Long-term potentiation,0.02273186865592451,True,Long-term potentiation,67,198,8,7987,0.04040404040404041,0.11940298507462686,query_1,['KEGG:00000'],"['ADCY8', 'BRAF', 'CACNA1C', 'CALML3', 'CALML5', 'EP300', 'GRIN2B', 'HRAS']","[['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG']]"
670,KEGG,KEGG:04261,Adrenergic signaling in cardiomyocytes,0.032867598407161684,True,Adrenergic signaling in cardiomyocytes,150,198,12,7987,0.06060606060606061,0.08,query_1,['KEGG:00000'],"['ADCY8', 'ADRA1A', 'ADRB1', 'ADRB2', 'ATP2A3', 'CACNA1C', 'CACNA2D3', 'CALML3', 'CALML5', 'GNAS', 'PPP2R2C', 'SCN5A']","[['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG']]"
671,KEGG,KEGG:04727,GABAergic synapse,0.03331432875516128,True,GABAergic synapse,89,198,9,7987,0.045454545454545456,0.10112359550561797,query_1,['KEGG:00000'],"['ADCY8', 'CACNA1A', 'CACNA1C', 'GABBR1', 'GABRA1', 'GABRA6', 'GABRG2', 'GAD2', 'GNG8']","[['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG']]"
676,KEGG,KEGG:04010,MAPK signaling pathway,0.03456194947101537,True,MAPK signaling pathway,294,198,18,7987,0.09090909090909091,0.061224489795918366,query_1,['KEGG:00000'],"['BDNF', 'BRAF', 'CACNA1A', 'CACNA1C', 'CACNA2D3', 'CSF1', 'EFNA5', 'EGF', 'HRAS', 'IL1B', 'JUND', 'KIT', 'MAP2K6', 'MYC', 'NTRK2', 'TAOK2', 'TNF', 'VEGFA']","[['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG']]"
689,KEGG,KEGG:05163,Human cytomegalovirus infection,0.040638793228921395,True,Human cytomegalovirus infection,223,198,15,7987,0.07575757575757576,0.06726457399103139,query_1,['KEGG:00000'],"['ADCY8', 'CALML3', 'CALML5', 'CCL2', 'CXCL8', 'GNA11', 'GNAS', 'GNG8', 'HRAS', 'IL1B', 'IL6', 'MAP2K6', 'MYC', 'TNF', 'VEGFA']","[['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG']]"
698,KEGG,KEGG:05219,Bladder cancer,0.0462721130128845,True,Bladder cancer,41,198,6,7987,0.030303030303030304,0.14634146341463414,query_1,['KEGG:00000'],"['BRAF', 'CXCL8', 'EGF', 'HRAS', 'MYC', 'VEGFA']","[['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG']]"
